children;days_employed;dob_years;education;education_id;family_status;family_status_id;gender;income_type;debt;total_income;purpose
1;-2184.6269403342794;45;высшее;1;женат / замужем;0;М;сотрудник;0;144522.2691099022;автомобиль
0;-705.1354575068939;44;высшее;1;Не женат / не замужем;4;Ж;сотрудник;0;136618.6551290751;автомобиль
0;348931.2567215009;62;высшее;1;женат / замужем;0;М;пенсионер;0;169873.81662042625;автомобиль
0;-3179.9478486443254;28;среднее;2;Не женат / не замужем;4;М;компаньон;0;246071.25859395013;автомобиль
0;-123.51489413379338;26;среднее;2;Не женат / не замужем;4;Ж;компаньон;0;80258.20051189922;автомобиль
0;-198.53297056570594;34;Среднее;2;женат / замужем;0;Ж;сотрудник;0;107508.21890775034;образование
2;;51;высшее;1;женат / замужем;0;Ж;сотрудник;0;;недвижимость
0;;53;среднее;2;женат / замужем;0;М;сотрудник;0;;недвижимость
0;-6911.458576786182;54;среднее;2;женат / замужем;0;Ж;госслужащий;0;248231.8976175485;недвижимость
0;-267.7140320637404;31;среднее;2;женат / замужем;0;М;сотрудник;0;52499.85107760132;образование
0;372415.54317440826;65;среднее;2;гражданский брак;1;М;пенсионер;0;235742.4496824656;свадьба
0;327529.74895348685;54;среднее;2;женат / замужем;0;Ж;пенсионер;0;72132.94085768312;недвижимость
0;361935.89596468303;64;высшее;1;гражданский брак;1;Ж;пенсионер;0;200666.17955903194;свадьба
0;-70.44701164833073;43;среднее;2;гражданский брак;1;Ж;компаньон;0;47980.001798646146;автомобиль
2;;36;высшее;1;женат / замужем;0;Ж;сотрудник;0;;недвижимость
2;-4860.667513041514;40;среднее;2;женат / замужем;0;Ж;сотрудник;0;151210.2508781045;недвижимость
1;-1619.2012910499527;41;высшее;1;гражданский брак;1;Ж;сотрудник;0;185656.0238671999;свадьба
1;-1403.2238655698013;33;среднее;2;женат / замужем;0;М;сотрудник;1;321205.40258937;автомобиль
1;;35;высшее;1;гражданский брак;1;Ж;компаньон;0;;свадьба
0;-525.5772739284185;52;высшее;1;женат / замужем;0;Ж;сотрудник;0;91362.24173969646;автомобиль
0;;45;СРЕДНЕЕ;2;женат / замужем;0;Ж;сотрудник;0;;недвижимость
0;;48;высшее;1;женат / замужем;0;Ж;сотрудник;0;;образование
0;353959.0195634827;55;высшее;1;женат / замужем;0;Ж;пенсионер;0;193716.07956840697;недвижимость
0;336145.37032807415;1;Среднее;2;женат / замужем;0;Ж;пенсионер;0;69152.77681583837;автомобиль
0;-586.8756477416358;50;СРЕДНЕЕ;2;вдовец / вдова;2;Ж;сотрудник;1;171093.33605973306;недвижимость
0;379812.19299358514;66;среднее;2;женат / замужем;0;Ж;пенсионер;0;153231.3718014052;автомобиль
0;-1336.1238180272267;52;среднее;2;гражданский брак;1;Ж;компаньон;0;122905.40055726853;автомобиль
1;-861.6348466725826;40;СРЕДНЕЕ;2;Не женат / не замужем;4;Ж;сотрудник;0;137964.54473897608;недвижимость
0;355333.9399460758;60;среднее;2;Не женат / не замужем;4;Ж;пенсионер;0;158674.49157106722;недвижимость
0;-2035.667507338943;63;СРЕДНЕЕ;2;вдовец / вдова;2;Ж;сотрудник;0;74577.66195989074;недвижимость
1;-291.6233154905774;30;среднее;2;гражданский брак;1;Ж;сотрудник;0;166715.58090057038;образование
0;-1448.6456433667786;25;высшее;1;гражданский брак;1;Ж;компаньон;0;196899.1060466812;недвижимость
2;-730.8630308233008;34;высшее;1;гражданский брак;1;Ж;сотрудник;0;174650.19941828342;автомобиль
0;-2083.048429471701;60;среднее;2;женат / замужем;0;Ж;сотрудник;0;104414.36534165827;образование
0;-401.5631240299626;42;среднее;2;женат / замужем;0;М;госслужащий;0;114995.05959424173;недвижимость
0;-12542.625427463745;62;среднее;2;Не женат / не замужем;4;Ж;компаньон;0;168679.71972579713;недвижимость
1;-1786.1173516448189;29;высшее;1;женат / замужем;0;М;сотрудник;0;272506.27669267746;недвижимость
0;-5901.474887740458;53;среднее;2;женат / замужем;0;Ж;госслужащий;0;117035.44531058767;образование
0;-1551.882786593936;27;высшее;1;женат / замужем;0;Ж;сотрудник;1;139167.56090910855;недвижимость
1;-2448.1324612801636;39;высшее;1;женат / замужем;0;Ж;госслужащий;0;94912.82831269075;недвижимость
1;-523.8372724572757;51;среднее;2;женат / замужем;0;М;сотрудник;0;80865.33010817836;недвижимость
0;-3702.5998956979806;42;среднее;2;в разводе;3;Ж;сотрудник;0;173605.8795671193;автомобиль
2;-2691.415482979271;34;среднее;2;гражданский брак;1;М;компаньон;0;110165.04697516888;свадьба
0;370723.4551839054;61;среднее;2;Не женат / не замужем;4;Ж;пенсионер;0;30588.70798241488;недвижимость
0;;47;среднее;2;женат / замужем;0;Ж;сотрудник;0;;образование
0;;30;высшее;1;женат / замужем;0;Ж;компаньон;0;;автомобиль
0;-166.02754809979746;56;ВЫСШЕЕ;1;женат / замужем;0;Ж;компаньон;0;100519.22872822154;автомобиль
2;-5547.147634054525;40;Среднее;2;женат / замужем;0;М;сотрудник;0;81376.03150764485;недвижимость
0;-1048.099338952407;39;среднее;2;женат / замужем;0;Ж;сотрудник;1;169795.0298391219;недвижимость
0;-185.41234341090845;65;высшее;1;гражданский брак;1;Ж;компаньон;0;180816.47957503705;свадьба
1;-2397.40209526387;50;среднее;2;женат / замужем;0;М;компаньон;0;329331.8402405878;недвижимость
0;-5072.6655068613045;44;ВЫСШЕЕ;1;Не женат / не замужем;4;Ж;сотрудник;0;197181.21183056448;недвижимость
0;367664.84300047153;68;среднее;2;в разводе;3;Ж;пенсионер;0;108961.83345515253;автомобиль
0;350180.0117094651;62;среднее;2;гражданский брак;1;М;пенсионер;0;100535.5845707715;автомобиль
0;-870.403121370625;43;среднее;2;женат / замужем;0;Ж;компаньон;0;92970.37236595525;недвижимость
0;-620.3777663348123;59;среднее;2;женат / замужем;0;М;сотрудник;0;71428.45860447371;образование
1;-1267.2356023351224;46;среднее;2;женат / замужем;0;М;сотрудник;0;238841.15276514052;автомобиль
0;334172.1710012863;65;среднее;2;женат / замужем;0;Ж;пенсионер;0;76676.22346682308;образование
1;-4045.9744467529395;47;НЕОКОНЧЕННОЕ ВЫСШЕЕ;3;в разводе;3;Ж;сотрудник;0;161035.31678910195;недвижимость
0;;28;среднее;2;женат / замужем;0;М;компаньон;0;;недвижимость
0;347143.7545974375;61;начальное;4;женат / замужем;0;М;пенсионер;0;109730.47669801112;недвижимость
1;-1852.736464549;29;высшее;1;гражданский брак;1;М;сотрудник;0;261341.24407112098;свадьба
0;-2494.891577535745;44;среднее;2;женат / замужем;0;Ж;госслужащий;0;116232.82461796505;недвижимость
0;-1712.5906650936236;30;неоконченное высшее;3;женат / замужем;0;М;компаньон;0;191024.11497034392;недвижимость
0;-2927.2486034924405;25;среднее;2;гражданский брак;1;Ж;сотрудник;0;99047.65947437022;недвижимость
0;;40;среднее;2;гражданский брак;1;М;сотрудник;0;;свадьба
0;337509.400442159;55;среднее;2;женат / замужем;0;Ж;пенсионер;0;105032.22551170528;автомобиль
0;-1836.500833780689;49;среднее;2;вдовец / вдова;2;Ж;сотрудник;0;146537.3553162442;недвижимость
1;-2042.2211844054777;46;среднее;2;гражданский брак;1;Ж;сотрудник;0;275720.6407964378;автомобиль
0;;63;среднее;2;женат / замужем;0;М;пенсионер;0;;недвижимость
0;-1262.9652607154392;47;среднее;2;женат / замужем;0;Ж;сотрудник;0;95748.43863077155;недвижимость
0;-5599.305498707176;48;среднее;2;женат / замужем;0;Ж;госслужащий;1;72299.0444107312;недвижимость
0;-4898.784054656714;38;среднее;2;женат / замужем;0;Ж;сотрудник;0;140804.43852781304;автомобиль
0;-2584.344973267642;1;среднее;2;в разводе;3;Ж;сотрудник;0;68071.14287199487;недвижимость
0;381900.17432499764;72;среднее;2;гражданский брак;1;Ж;пенсионер;0;168865.64442403812;свадьба
0;-869.5685002275565;38;высшее;1;гражданский брак;1;Ж;компаньон;0;449197.279832202;свадьба
1;-3489.843096229846;40;среднее;2;женат / замужем;0;Ж;компаньон;0;39664.39439647327;недвижимость
1;-128.76607994974182;21;среднее;2;женат / замужем;0;М;компаньон;1;130708.22702944382;недвижимость
1;-1749.812687109825;42;высшее;1;вдовец / вдова;2;Ж;сотрудник;0;138819.92941426975;недвижимость
0;-1172.3382933172852;41;среднее;2;женат / замужем;0;Ж;компаньон;0;68664.68926349595;образование
0;351495.85145026207;66;Среднее;2;женат / замужем;0;М;пенсионер;0;253452.3053597138;образование
0;337961.60716912715;39;среднее;2;женат / замужем;0;Ж;пенсионер;1;110153.83053428042;автомобиль
0;-10671.541419305053;57;среднее;2;женат / замужем;0;Ж;сотрудник;0;78130.8220800062;образование
0;359921.11590832984;60;среднее;2;Не женат / не замужем;4;Ж;пенсионер;0;145056.57310800318;автомобиль
0;-2001.3267688025205;46;среднее;2;гражданский брак;1;М;сотрудник;0;192435.19499009033;недвижимость
1;-1113.1638883184664;40;высшее;1;женат / замужем;0;Ж;сотрудник;0;84493.9046593116;автомобиль
0;-3643.167750908445;63;среднее;2;женат / замужем;0;М;сотрудник;0;64580.288612619515;образование
0;-7249.685868601969;51;среднее;2;женат / замужем;0;М;сотрудник;0;76606.30979828724;недвижимость
2;-2286.7975172004185;28;высшее;1;женат / замужем;0;Ж;сотрудник;1;358499.4750653167;автомобиль
2;-1230.8045650537458;33;высшее;1;женат / замужем;0;М;госслужащий;0;221440.5709110129;недвижимость
0;-436.5595021109286;39;Среднее;2;гражданский брак;1;М;сотрудник;0;139751.50003696285;недвижимость
0;-7002.697804816652;57;среднее;2;гражданский брак;1;Ж;госслужащий;0;214097.4834048926;свадьба
0;351111.11389008694;68;среднее;2;вдовец / вдова;2;Ж;пенсионер;0;134867.77630517274;недвижимость
0;360947.566164681;59;среднее;2;гражданский брак;1;Ж;пенсионер;0;162825.8497530256;автомобиль
0;-176.75992155529136;29;высшее;1;Не женат / не замужем;4;М;сотрудник;0;118070.2359932692;недвижимость
0;-9279.254227333842;61;среднее;2;гражданский брак;1;Ж;компаньон;0;218441.86147503243;свадьба
0;-4512.602833285605;50;среднее;2;женат / замужем;0;Ж;сотрудник;0;177490.7121352603;недвижимость
0;-8826.946945640777;50;среднее;2;женат / замужем;0;М;компаньон;0;403968.01843996084;недвижимость
0;;56;высшее;1;вдовец / вдова;2;Ж;компаньон;0;;автомобиль
2;-1682.6987813757921;39;среднее;2;женат / замужем;0;Ж;сотрудник;0;136974.3636872786;недвижимость
0;353252.9072823739;61;среднее;2;женат / замужем;0;Ж;пенсионер;0;101482.43538907295;образование
2;-2046.0352499131416;49;среднее;2;женат / замужем;0;М;госслужащий;0;167881.96715406267;автомобиль
0;383856.51055616915;60;среднее;2;вдовец / вдова;2;Ж;пенсионер;0;84650.71542236183;автомобиль
0;-1141.7437219421095;44;среднее;2;Не женат / не замужем;4;Ж;сотрудник;0;172456.3134412173;недвижимость
0;-58.818207728674274;38;среднее;2;гражданский брак;1;Ж;сотрудник;0;205889.4961313827;свадьба
0;;27;среднее;2;гражданский брак;1;Ж;компаньон;1;;недвижимость
1;-7919.4032131334625;50;среднее;2;гражданский брак;1;Ж;сотрудник;0;78977.1123006963;свадьба
1;-161.277085925199;36;высшее;1;гражданский брак;1;М;компаньон;1;264027.2128681957;образование
0;358591.7560337145;58;высшее;1;женат / замужем;0;М;пенсионер;0;137097.73103040847;недвижимость
0;-4875.442576464667;33;среднее;2;гражданский брак;1;М;сотрудник;1;156078.5358287997;образование
0;-218.36997879564694;35;среднее;2;в разводе;3;Ж;сотрудник;0;195600.84461278497;недвижимость
0;-850.5378168613131;47;высшее;1;гражданский брак;1;Ж;сотрудник;0;252236.53563496168;образование
0;-96.22006854190214;49;среднее;2;женат / замужем;0;М;сотрудник;0;168338.339136906;недвижимость
1;;31;среднее;2;Не женат / не замужем;4;Ж;сотрудник;0;;автомобиль
0;-325.45726764534885;27;среднее;2;гражданский брак;1;М;компаньон;0;156064.72789820516;свадьба
0;326465.1559389028;61;СРЕДНЕЕ;2;женат / замужем;0;Ж;пенсионер;0;168729.9016679312;образование
0;-2495.9426769670017;48;среднее;2;женат / замужем;0;М;сотрудник;0;211888.7475236377;автомобиль
0;374740.925601965;61;высшее;1;в разводе;3;Ж;пенсионер;0;94276.23650826978;автомобиль
0;-95.36279683390691;25;среднее;2;гражданский брак;1;М;компаньон;0;131785.06041965037;образование
0;-113.61404988501012;52;среднее;2;женат / замужем;0;Ж;сотрудник;0;248163.21082975867;образование
0;-1542.0879589285967;38;высшее;1;женат / замужем;0;Ж;компаньон;0;155931.91163987212;недвижимость
0;-11772.047439420947;60;высшее;1;женат / замужем;0;Ж;сотрудник;0;136624.1358618794;недвижимость
0;-1360.988405004861;53;среднее;2;Не женат / не замужем;4;Ж;компаньон;0;134994.33105782876;автомобиль
1;-216.84060715815968;24;Среднее;2;вдовец / вдова;2;Ж;сотрудник;0;56793.1385724893;автомобиль
0;-5366.4010194828725;42;среднее;2;гражданский брак;1;Ж;сотрудник;0;195092.26598045634;недвижимость
0;-6346.1869664513015;40;среднее;2;женат / замужем;0;Ж;компаньон;0;84386.90301267423;недвижимость
1;-1528.0638702446952;39;среднее;2;женат / замужем;0;Ж;сотрудник;1;88232.11295613536;недвижимость
0;-2744.7757825797385;57;СРЕДНЕЕ;2;женат / замужем;0;М;сотрудник;0;158861.53020383074;недвижимость
0;324598.3405288798;62;среднее;2;женат / замужем;0;Ж;пенсионер;0;175868.5654397897;недвижимость
1;;32;высшее;1;женат / замужем;0;Ж;сотрудник;0;;автомобиль
0;353007.1352176516;55;Среднее;2;женат / замужем;0;Ж;пенсионер;0;259157.52792370136;образование
0;-1311.7483696790127;38;среднее;2;Не женат / не замужем;4;Ж;сотрудник;0;109353.80259538055;недвижимость
0;-726.7004069801689;23;среднее;2;гражданский брак;1;М;компаньон;0;157617.25789506017;образование
2;-263.42341556008165;39;высшее;1;женат / замужем;0;Ж;сотрудник;0;189279.38583337248;недвижимость
2;331902.19574899576;56;начальное;4;вдовец / вдова;2;Ж;пенсионер;0;155816.0667365402;недвижимость
0;-559.9552312701421;42;начальное;4;гражданский брак;1;Ж;сотрудник;0;35549.606085838925;автомобиль
0;-5687.361258864245;49;высшее;1;Не женат / не замужем;4;М;госслужащий;0;232506.68767444426;автомобиль
1;-682.1462049133622;39;высшее;1;гражданский брак;1;М;сотрудник;1;224448.13781057467;автомобиль
2;-1281.4468464389602;42;неоконченное высшее;3;женат / замужем;0;Ж;сотрудник;0;305110.58357160474;недвижимость
0;-77.48393918634532;43;высшее;1;Не женат / не замужем;4;Ж;компаньон;0;252651.4326647272;недвижимость
0;-345.44725853063636;23;высшее;1;гражданский брак;1;Ж;сотрудник;0;115195.03703107071;образование
0;373032.82399077155;55;среднее;2;гражданский брак;1;Ж;пенсионер;0;261501.33497538383;недвижимость
1;-2836.8604348834315;35;среднее;2;женат / замужем;0;Ж;сотрудник;1;206817.66967841904;автомобиль
0;-579.3552001119727;22;неоконченное высшее;3;гражданский брак;1;Ж;компаньон;0;84346.27479066663;недвижимость
1;;24;неоконченное высшее;3;гражданский брак;1;Ж;компаньон;0;;свадьба
0;372259.006183436;66;среднее;2;вдовец / вдова;2;Ж;пенсионер;0;173110.1577090961;автомобиль
0;-141.17536899825961;33;высшее;1;женат / замужем;0;М;компаньон;0;183313.1923929101;недвижимость
0;327548.977522117;62;среднее;2;в разводе;3;Ж;пенсионер;0;106943.63530010171;недвижимость
2;-994.2006856561209;42;среднее;2;женат / замужем;0;Ж;компаньон;0;91749.51744884157;недвижимость
0;-421.88339739002413;53;среднее;2;женат / замужем;0;Ж;сотрудник;0;149275.49763665587;недвижимость
1;-2004.9011732955523;31;среднее;2;женат / замужем;0;Ж;госслужащий;0;128771.73173467262;образование
1;-1541.1666926745556;65;высшее;1;гражданский брак;1;Ж;сотрудник;0;138151.90422499386;недвижимость
0;329017.3014629195;61;среднее;2;Не женат / не замужем;4;Ж;пенсионер;0;184713.34369263117;недвижимость
0;326645.40022523317;74;среднее;2;вдовец / вдова;2;Ж;пенсионер;0;132790.09812405796;автомобиль
1;-1987.735228716959;29;среднее;2;гражданский брак;1;М;компаньон;1;182928.07541455352;свадьба
1;-139.86027820950895;42;СРЕДНЕЕ;2;женат / замужем;0;Ж;сотрудник;1;108727.87960716133;недвижимость
0;-3689.693196775151;50;среднее;2;гражданский брак;1;Ж;сотрудник;0;72378.36994909606;свадьба
1;-1431.4265653660705;51;среднее;2;женат / замужем;0;Ж;сотрудник;0;139089.3392812056;автомобиль
0;-5689.355557127473;53;среднее;2;Не женат / не замужем;4;Ж;сотрудник;0;136234.26317124342;образование
0;-1000.9503759647849;51;среднее;2;женат / замужем;0;Ж;сотрудник;0;121410.9619082611;недвижимость
0;383950.37855395145;60;среднее;2;женат / замужем;0;Ж;пенсионер;0;138667.84951775018;автомобиль
2;-2507.840772425023;38;среднее;2;женат / замужем;0;М;сотрудник;0;196609.06429339285;недвижимость
0;-686.831375694747;45;среднее;2;гражданский брак;1;Ж;сотрудник;0;228374.28694261776;свадьба
0;-5109.8065315887625;44;среднее;2;женат / замужем;0;М;сотрудник;0;423588.1061963648;недвижимость
0;-4824.432240231524;48;среднее;2;вдовец / вдова;2;Ж;компаньон;0;128813.32638415555;недвижимость
0;;48;среднее;2;женат / замужем;0;М;сотрудник;0;;недвижимость
0;;59;среднее;2;женат / замужем;0;Ж;госслужащий;0;;недвижимость
0;-450.6951096178799;50;высшее;1;гражданский брак;1;М;компаньон;0;372230.85857252416;свадьба
0;-853.1997292796326;49;среднее;2;гражданский брак;1;Ж;сотрудник;0;127017.2425386946;образование
0;-1875.319423745333;51;Среднее;2;в разводе;3;М;сотрудник;0;191254.7189136857;недвижимость
1;-1550.9041076093984;41;среднее;2;женат / замужем;0;Ж;компаньон;0;153599.57463166997;недвижимость
1;;61;высшее;1;женат / замужем;0;Ж;пенсионер;1;;образование
0;-3038.21531216963;32;среднее;2;женат / замужем;0;М;сотрудник;0;251725.8644872767;недвижимость
0;-1567.4373695998552;30;высшее;1;женат / замужем;0;Ж;сотрудник;0;182544.62825358025;образование
0;;55;высшее;1;женат / замужем;0;Ж;сотрудник;0;;автомобиль
0;369209.5279498985;72;среднее;2;вдовец / вдова;2;Ж;пенсионер;0;134710.84833699747;недвижимость
1;-5619.928975384294;36;среднее;2;женат / замужем;0;Ж;компаньон;0;223138.92090149093;недвижимость
0;347177.5852137195;64;среднее;2;вдовец / вдова;2;Ж;пенсионер;0;89189.33561139953;образование
2;-912.3824404597568;45;ВЫСШЕЕ;1;женат / замужем;0;Ж;компаньон;0;317312.93614910083;недвижимость
0;-6182.649414469538;46;среднее;2;женат / замужем;0;М;сотрудник;0;116282.77987846773;недвижимость
0;-1631.214612506502;53;среднее;2;женат / замужем;0;Ж;сотрудник;0;80425.68719777685;образование
0;-848.6074709376051;50;высшее;1;женат / замужем;0;М;сотрудник;0;198408.59895595143;недвижимость
1;-902.1810625031512;48;среднее;2;гражданский брак;1;М;сотрудник;0;144610.21687715966;свадьба
0;-1563.2233876445803;30;высшее;1;гражданский брак;1;Ж;сотрудник;0;205616.2440415671;свадьба
1;-1658.836123900177;30;среднее;2;гражданский брак;1;Ж;компаньон;0;277937.84438622877;недвижимость
0;-2578.731500031671;52;среднее;2;женат / замужем;0;Ж;компаньон;0;139596.14242538132;недвижимость
0;-1569.3051446198763;45;среднее;2;женат / замужем;0;Ж;сотрудник;0;163528.79813670588;недвижимость
0;372154.8377733287;53;среднее;2;женат / замужем;0;Ж;пенсионер;0;72969.05799818598;недвижимость
2;;41;среднее;2;в разводе;3;Ж;сотрудник;0;;недвижимость
2;-2801.8951720864525;49;среднее;2;женат / замужем;0;М;компаньон;0;209505.87820222726;недвижимость
